Name,Ticker,"Sub-Sector","Market Cap","Debt to Equity","Long Term Debt to Equity","Cash Conversion Cycle","Quick Ratio","Current Ratio","Interest Coverage Ratio","Working Capital Turnover Ratio","Net Income / Liabilities","Earning Power"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","49.57841320043033","37.63269776665932","12.3184831132","0.7985816638019765","1.1830373433123536","5.530106410589151","17.94005044678646","8.395557484986615","7.284416152720609"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","8.783495220052782","7.135426362531346","-904.3622950654","2.450026028110359","2.4506333506854068","80.68766066838046","3.672600155697946","84.77462005798387","43.15263418389793"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462",,,,,,,"-0.21285379450702405","1.7964436355140703","1.8972222819924396"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","204.22919198703343","175.144817499164","-219.3880073838","0.4176326443485799","0.4202569017464762","1.5598360981468304","-2.1280321868471885","2.219314125828892","7.992118894382863"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651",,,,,,,"-0.20044078034238216","2.1082335397373537","2.5507822847756523"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","9.449361865680922","7.234826646770894","99.1357170862","2.305304944063515","2.305304944063515","77.57021276595745","3.8473273171146443","55.15885531655418","26.803411263049554"
State Bank of India,SBIN,"Public Banks","707498.65070535",,,,,,,"-0.13528148595689202","1.0620790476573663","1.3523235563060854"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","2.8858681912762774","2.150788557649301","-46.8782949063","1.343740292016154","1.6561043802423112","42.69461077844311","9.375465792219407","37.97014704795685","18.168150951088688"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","0","0",,"3.089573975883369","3.089573975883369",,"6.344472733166432","0.7818592891491807","0.8843702649497958"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","0.40516774142118095","0.3102818708566714","114.5126457682","1.9658052357856595","2.9995865716122236","339.99425430926806","2.7627506677407045","121.31629506641366","29.66622588646573"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","113.43013716476486","56.79370365538023","85.185290845","1.1916956402162098","1.2291824048518938","3.1569326452323723","4.52475188788648","5.52079645241403","8.855749301793098"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","8.434034948953435","6.68219302485682","38.2760422349","2.6025697439056588","2.6107101997711872","38.91500904159132","3.2409128594493173","51.088335773548074","21.736056400622182"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","382.48189753355325","345.22576662079257","-20.9959502201","0.4159652636271757","0.4159652636271757",,"-3.4999190100965287","4.832419411216864","5.139055396631332"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","4.878358810698958","0.45244856754175505","254.6741767362","1.9762879502018695","2.5573303218307837","47.495953369396574","2.1500819956513206","52.61212459173107","13.277047754824823"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","143.609317894593","116.3094404946443",,"0.65902542172303","0.8442172292867121","3.2878441625591144","-11.711733910772862","6.624711002935364","8.438147302152917"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","0.13849315708346954","0.07905553739081692","-26.2678978628","0.6672253947703047","0.8721475966984947","91.0025826446282","-28.07465796169171","45.46364613844509","15.27968216221281"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458",,,,,,,"-0.15437417056990743","1.9381655966535083","2.31598209484735"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764",,,,,,,"-0.2699673790298771","2.8549952812314285","3.1075607403984478"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","41.95685974342529","28.33746586976847","22.8841174503","0.5325016318387836","0.8822157809645513","8.539609404198679","-33.62848564276453","14.280166751299914","12.265064627902932"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","115.21964965922054","74.99742464412019","-24.2932932423","0.690773080977093","0.9660242948559182","3.7994974844178135","-86.95790286932497","11.358921649675795","10.267592381383011"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","342623.97496336","3.1670815206869","2.1352769966209095","25.6661897897","1.149347696474226","3.1336994856351748","60.54464132117663","12.416773216873652","102.46571911083807","16.622804697418523"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","337018.53140122996","147.80636708807185","130.44281382302066","-65.3294878431","0.6137187909331564","0.829044868243327","2.0815509254177007","-12.836275441969324","2.7831197521992075","5.903893135551341"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","336486.49030176003","134.0677549038382","88.68686162527425","91.671335044","1.054662578189479","1.3007451785774562","3.133726217614087","6.551145929625023","7.261158161118825","9.99736965140084"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335202.07043782005","18.91556583883263","10.367510668770947","26.4964172863","0.5505742965499094","0.8601614660840944","10.73369834710745","-22.118619964757162","17.290451696698113","10.30805347494587"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","330461.4782546","165.3145959757266","56.78696901948259","165.4376518337","0.3966967148647831","1.5492770282533728","8.468497576736672","5.665459334869937","15.780445969125214","16.6164770025676"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","328536.80179572","6.600760571803047","2.6212243313921975","-16.3091274489","1.1120189457312157","1.2977748885464344","167.33598409542742","13.143902951830094","74.25141625253941","25.672223423883217"
Asian Paints Ltd,ASIANPAINT,"Paints","313930.412771535","12.73898663898911","5.9189092901036275","95.6857846144","1.3661574692740586","2.0629505373510755","36.81308183457622","4.109195132424684","52.11590241183384","25.260018387486348"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","310919.18566917","141.73624888418868","120.6373140156688",,"0.5844222491118449","0.6164780974908337","3.1103929782565323","-3.019079644653421","9.514150389234285","10.878593529543792"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","309013.05580823997","371.7216872994039","241.70105456212747","26.3423993107","0.493216613612248","0.5042443534940124","1.3337994406711946","-1.5566980448950036","1.5572354823182988","7.580092182639693"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","308640.6524616","89.91699897860371","74.02912030987534","-35.0321952575","1.0347392385564185","1.0613146861982126","4.526813614642108","9.286181487205571","13.014683287560889","10.57401247188015"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","300915.58493214","278.41990212559085","250.8858274829837",,"0.20832870932481168","0.20832870932481168",,"-0.8981834238586536","1.8789326031780935","3.977377712135167"
Coal India Ltd,COALINDIA,"Mining - Coal","300186.49680817","7.8043571634528535","6.90758405827099","59.7166331376","1.5140265300846636","1.6884705616234732","60.573342934205584","3.679634956118149","24.46390375783109","20.98873952317585"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","296778.937875","0.17198657187045008","0.0037060155151652945","565.7476419849","1.2723546940098862","1.6819919984649974","240.85174759558996","1.3532581443660008","14.721253228040013","12.68990656876137"
