Name,Ticker,"Sub-Sector","Market Cap","1Y Historical Revenue Growth","5Y Historical Revenue Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","3.0895123768133192","9.693728674027158","15.769933522528476","14.035224236765576","9.408109926797135","10.257575321793787"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","7.16797651447969","10.224853308529024","8.056388339605792","9.110400914849404","9.536672674950132","8.729029861324978"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","99.3465307640103","26.873555522548","24.77422261122699","17.519024190287812","17.5915707206238","18.286199828412354"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","9.439302438695329","12.312700827136291","3.5576353807592223","19.87941869429781","-8.766342970503134","69.31354260539489"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","26.780132861528806","12.444713130298645","30.55944796657055","49.49085644038023","29.342747145816297","57.07886850729857"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","5.963149302860815","13.107006005008559","8.73622161719225","12.280073867265905","9.571231713538785","12.306525032692894"
State Bank of India,SBIN,"Public Banks","707498.65070535","25.60252571020707","12.449569025639162","20.222747194324832","61.2719627122531","20.551425240295604","96.33231551539313"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","2.6653826692999427","9.552595240767392","6.036313806097978","10.957151360765561","1.5513833992094783","9.355975964746488"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","8.627654920707851","8.437367826047048","13.237077583272878","40.946725394717774","13.665727025503339","73.17056902175246"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","0.8176425688927402","7.818842777788038","4.440092223912755","7.087740146812882","5.911626061748047","9.792377037213962"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","20.561639718982217","10.321239278613636","12.159976204988427","5.6870756072646245","26.082269284660022","8.143309437138946"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","8.358783823214733","12.66578601482864","7.11665137997165","11.559513347086803","5.730253854959263","9.462052853689995"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","32.76253726165157","24.343128489772425","24.85224726538788","25.888546889408516","24.065372214223892","27.797956577121763"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","12.05513452320519","10.639268273326575","14.642118075683829","17.805300842339268","13.01456999284843","29.14743988957231"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","2.7874702348795743","12.230297375353928","12.937205636154893","17.281466228144193","23.055896360986452","9.10374227507791"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","20.97921424552347","10.490316559279545","47.22685289479625","10.76283319325453","59.95972977265615","11.561661365155729"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458","30.42805440214451","14.462075928428387","15.108935956153111","34.429818640549655","143.23429977092005","34.27987690251051"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764","38.34913635534487","15.442624578187413","21.781091553904698","17.444812824799662","21.931326478724486","19.39617830321825"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","-5.506069961423243","6.971999520281291","49.98931579932982","6.536953668994272","34.08413288073262","10.232289695368934"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","25.991999633860917","7.808252534810189","69.46826865129417",,"1199.9495421511303",
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","342623.97496336","18.539874188075565","20.49483516408319","12.84658703207604","20.37482709164873","6.3856803689927775","21.976291240802183"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","337018.53140122996","-23.666743013328983","18.77367205856355","29.74610232989922","38.317495589664794","29.15869480595467","41.48065600275235"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","336486.49030176003","12.13198257787884","5.732950519033353","16.26214493164847","9.529336360389774","9.475791639295831","14.787356848092536"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335202.07043782005","12.235868335323241","11.203420153091304","21.64616391179634","11.951583355652229","38.32676343852334","22.62422261462134"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","330461.4782546","26.254769592016448","20.926581002205502","12.297609868928296","21.812353786122852","7.435443653586861","19.954144206316116"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","328536.80179572","22.010395526167102","7.531626616890952","28.134374227104622","7.689329067288009","29.49933544317055","9.99960701819942"
Asian Paints Ltd,ASIANPAINT,"Paints","313930.412771535","3.851334270546536","13.22701157034507","25.62491593561794","15.789378592984416","32.96716141679562","20.424723845652593"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","310919.18566917","0.2366828571276125","5.134610211728008","-0.7056244888605615","7.274957950154981","0.9948321647873679","9.190511924992473"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","309013.05580823997","23.89349930843707","38.21568492582137","52.208621607237895","39.94473355348194","12.222728882916597",
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","308640.6524616","25.643494682083002","18.08258997447496","44.2223156505449","15.57524432326165","51.086721370958074","14.274496392839842"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","300915.58493214","34.503211767056726","20.973642051306495","27.36719742145462","21.592492249328043","26.85596727228707","20.379202771585625"
Coal India Ltd,COALINDIA,"Mining - Coal","300186.49680817","4.079897676790267","7.4106417663474256","10.977253240431354","12.81845911931596","17.753421172846814","16.538606665995047"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","296778.937875","12.949901137919163","9.645742848562966","39.673006659025724","18.829239579000845","30.77196305943632","26.760185056876807"
Wipro Ltd,WIPRO,"IT Services & Consulting","281198.868392315","-0.40005519489619834","8.433578082808136","1.411037167252563","6.3816055102858815","-0.3515621239531741","6.678735870512309"
Trent Ltd,TRENT,"Retail - Apparel","260785.6013896","55.6426188077588","37.990978623088736","103.44389070286968","61.33302872603572","234.39039201133437","70.3246765782504"
Adani Power Ltd,ADANIPOWER,"Power Generation","251356.71078497003","40.05750859887378","17.989219760445785","96.41675307506759","30.485519123352447","94.17813965976279",
Nestle India Ltd,NESTLEIND,"FMCG - Foods","250406.0768094","31.57156432182657","14.95410832321098","30.211556113716636","13.48502343567981","1211.5898845112017","14.846376537692096"
Zomato Ltd,ZOMATO,"Online Services","240161.1300081","67.00167504187604","37.56736482851946","268.05293005671075",,"133.94830963594507",
Siemens Ltd,SIEMENS,"Conglomerates","240035.73547765","20.784509516132932","8.958332275144887","27.154547779388043","13.165642328793892","27.09184004148042","16.822595975478038"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","237872.26056163502","-7.691666515130002","7.991207590648908","126.31177668691778","15.538238506356539","326.15583815387015","19.534158386215704"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","233162.98775352002","5.381278307206672","15.758722393907654","48.05551395337227","9.169322008836666","111.38431184462745","2.7448180521025156"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","220395.42848172","4991.882247992863",,"3907.7219294689903",,"-96.73569117111501",
DLF Ltd,DLF,"Real Estate","213050.07853542","15.738156463422337","-5.342932149360491","29.94092570930746","-1.9666812007750223","33.95519272237856","10.756376868844054"
Varun Beverages Ltd,VBL,"Soft Drinks","210091.96778135","22.02506965264126","21.54614302436726","30.47326462607033","28.93543392111051","37.28841187758437","46.11883052799972"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","207214.231136","12.175137831153538","19.078043508833353","3.8882354749312844","17.21651129695956","3.9720130043861572","11.595662836441644"
Bharat Electronics Ltd,BEL,"Electronic Equipments","206757.094178265","16.225928713689086","11.340325796866214","30.909311392590492","13.91694952513658","33.51381414590898","16.131074582446026"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","204927.9715","-15.421258843757924",,"-22.00158856235107",,"-26.22296172248978",
Interglobe Aviation Ltd,INDIGO,"Airlines","190220.126290185","27.468414367423023","19.022340227234082","134.52707477903712","73.87521748674224","2770.152196061074","120.21482904304719"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","188495.16176913","7.347383957865916","30.017872730711524","6.372475467395014","26.53379528893234","3.870506871269128","12.029771917117493"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","188001.98500746","-5.689867636369817","7.696399690595346","-52.042633651637985","-12.036684174973066","-150.12261606783534",
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","184599.47890473","62.22770834625402","24.447547610208396","9.138951379175852","4.442510207848227","10.006246465329284","7.350127794793182"
Grasim Industries Ltd,GRASIM,"Cement","182708.35982911","8.96117015920137","11.1348117954444","10.490983542788658","13.59071703330157","-17.46424835298529","27.15477449448653"
Vedanta Ltd,VEDL,"Metals - Diversified","175007.53134748","-0.5552905004240882","9.259271413683612","9.431670984455959","8.123557611474897","-59.91110270474749","-9.711954855256577"
ABB India Ltd,ABB,"Heavy Electrical Equipments","164975.967646875","18.290803917123235","8.859393209608779","21.45489341775772","17.331296311741685","22.221347529594862","22.06797144896391"
Power Finance Corporation Ltd,PFC,"Specialized Finance","162381.5071008","17.809222332545716","11.061714242133359","26.720222752333843","13.478521160089784","24.36748434326688","14.776406305983292"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","162364.68920115","5.628598059104117","11.617719999132458","35.80186413933021","13.055169714108716","35.781208326784814","13.308162218930676"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","157064.23643592","-2.4556171574337537","8.450640521986209","-37.74261555031041","-4.402651362230037","-51.33377693860064","-11.231873813044423"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","153315.464240575","-3.1116792645283664","10.561603669240082","5.914987694489634","8.8217578775859","0.04310541897014496","12.849143418387765"
Ambuja Cements Ltd,AMBUJACEM,"Cement","152738.28687078","-12.951870348560146","4.521760873042613","40.06636667588414","8.457829808376749","31.43536229030513","10.14123785295913"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","150359.49434524","42.379041488239125","21.278216637741743","-30.397759103641587","-8.770548013014112","14.01708813109338","-1.772658601839261"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","147489.6793482","0.5091309797590649","8.564757374070876","-1.4542940328725331","11.74267070017021","-7.837124262954476","12.983402826412815"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","146493.899834605","6.53111229437322","6.079350953490281","-70.72297165200385","-21.384902761767123","-132.9220326053775",
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","145817.16945168","-5.346035328331422","8.427132457021935","250.2235235699536","21.103680830896998","1158.3370575556796","25.98982420758482"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","145188.7484307","0.8875739644970349","9.912454402797088","-6.226971260132646","4.639614804174963","-12.280701754385953","3.414427036266776"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","144626.595609566","34.45928295066227","45.81161045149631","26.96687549755986","69.88835136180636","18.887919058278673","43.04926066022128"
REC Limited,RECLTD,"Specialized Finance","143787.19652","20.372058210290668","13.334226410332683","29.17698910998693","17.298791200079265","26.67204846946087","19.761709084805588"
Gail (India) Ltd,GAIL,"Gas Distribution","143297.28573954199","-8.473746229260914","11.69666976040964","64.5515285200719","7.820592725506792","77.41393090522168","9.245679336823454"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","140786.66044082","7.003642437911939","13.990909010351649","6.660913410989768","6.650365872306474","10.784249079857789","5.834749689109597"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","138347.418608256","25.531645425335302","9.191524108064097","49.67808273352782","10.738850476077143","81.61273067664868","7.229784089215019"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","134404.88220208","19.354020320311903","18.540838898731593","19.665071173226607","22.51556500365284","5.351283870963471","12.082881817740997"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","133640.062908825","48.18005141317558","22.261476966851546","28.580874164810705","20.5271509048238","26.88160027627451","21.84440267439589"
Cipla Ltd,CIPLA,"Pharmaceuticals","133376.5963872","14.172590047514767","9.509982445098398","28.62406015037589","13.87247920635344","47.04748660846538","21.900465754969645"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","132929.03647485","17.63176715653385","11.45823795476284","34.375014355078044","10.169138248261378","37.209876740049374","12.588906679202672"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","132299.88407115","22.230232383605","14.223182276531166","34.66385444342479","20.70326684085162","26.921658500605812","19.06754988181527"
