Name,Ticker,"Sub-Sector","Market Cap","Total Revenue","Taxes & Other Items","Interest & Other Items","Payout Ratio","Earnings Per Share","Net Income","Depreciation & Amortization","PBT","Dividend Per Share","EBITDA","PBIT","Employee Cost","Operating & Other expenses"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","917508","35106","23118","0.10211630764769869","97.92755173346067","69621","50832","104727","10","178677","127845","25679","23497"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","245315","16089","778","0.578582315765226","126.17046530959225","45908","4985","61997","73","67760","62775","140131","13231"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","407994.77","12506.560000000001",,"0.20054367784416466","97.23567558760318","64062.04000000005","3092.08","76568.60000000005","19.5","79660.68000000005","76568.60000000005","31023","206448.21999999997"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","154127.19999999998","5212","22647.7","0.6226066199008994","12.849204849883163","7466.9999999999745","39537.6","12678.999999999975","8","74864.29999999997","35326.699999999975","5323.1","51666.8"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","236037.72999999998","16177.989999999998",,"0.158233497091267","63.197743738369965","44256.37999999996","1935.21","60434.36999999996","10","62369.57999999996","60434.36999999996","19171.98","143220.71000000002"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","158381","9755","470","0.7256348373422788","63.39276676472742","26233","4678","35988","46","41136","36458","82620","28705"
State Bank of India,SBIN,"Public Banks","707498.65070535","594574.9","24155.389999999996",,"0","75.1681456883903","67084.65000000004","3849.12","91240.04000000004",,"95089.16000000003","91240.04000000004","83671.19","396179.38"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","62900","3649","334","0.960229960144011","43.73952255530647","10277","1216","13926","42","15476","14260","3009","6374"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","860795.03","6097.69",,"0.15458554204544214","64.68910266563213","40915.84999999998","465.94","47013.53999999998","10","47479.47999999998","47013.53999999998","39624.76","222.65000000002328"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","73636.45","6681.1","80.06","0.8371708111108043","16.42436623149312","20458.78","1816.39","27139.88","13.75","29036.33","27219.940000000002","6134.35","3330.9899999999957"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","225385.38","7457.999999999999","9512.17","0.3619125939899422","93.94533532299482","13059.110000000015","3682.33","20517.110000000015","34","33711.610000000015","30029.280000000013","41171.02","67522.27"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","111408","5265","553","0.8986790535727931","57.86270392446394","15702","4173","20967","52","25693","21520","62480","18263"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","54990.149999999994","4858.400000000001",,"0.1522625421609462","236.4337248615414","14451.169999999995","683.32","19309.569999999996","36","19992.889999999996","19309.569999999996","6396.01","24011.48"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","49887.17","1511.51","238.47","0.3382386882621617","39.91264296039498","9576.380000000001","2556.64","11087.890000000001","13.5","13883","11326.36","9429.06","4410.660000000003"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","183891.79","7329.76","12300.51","0.36108764047138425","21.46293345815634","20811.890000000007","16203.63","28141.65000000001","7.75","56645.79000000001","40442.16000000001","7534.09","191.59000000000196"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","146205.80000000002","3936.3","193.6","0.2856583133776185","437.5857244342108","13488.200000000023","5255.8","17424.500000000022","125","22873.90000000002","17618.10000000002","6301.6","3794.799999999998"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458","137989.36000000002","8791.8",,"0.011679253524569645","85.62191050106927","26386.200000000037","1388.46","35178.00000000004","1","36566.460000000036","35178.00000000004","12193.68","82660.20999999999"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764","94273.91","5650.17",,"0.021821949453171622","91.65084009986643","18213.210000000006","791.75","23863.380000000005","2","24655.130000000005","23863.380000000005","10347.31","54003.770000000004"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","606208.1","27638.7","10194.17","0.3130925882584306","39.125806420842814","49221.360000000044","28762.75","76860.06000000004","12.25","115816.98000000004","87054.23000000004","15281.06","203476.6999999999"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","444589.67000000004","-3443.9800000000005","9985.76","0.06455291903141137","94.49611406467533","31399.090000000022","27270.13","27955.110000000022","6.1","65211.00000000003","37940.870000000024","42486.64","17610.350000000035"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","342623.97496336","50935.27999999999","925.1600000000001","58.13","0","39.04812574916352","2536.1699999999973","730.76","3461.329999999997","0","4250.2199999999975","3519.4599999999973","906.12","1167.9099999999967"
