Name,Ticker,"Sub-Sector","Market Cap","Domestic Institutional Holding","Mutual Fund Holding","Foreign Institutional Holding","Promoter Holding","MF Holding Change – 3M"," MF Holding Change – 6M","FII Holding Change – 3M","Promoter Holding Change – 6M ","DII Holding Change – 3M","DII Holding Change – 6M","FII Holding Change – 6M","Promoter Holding Change – 3M","Insurance Firms Holding","Retail Investor Holding"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","17.40966013121456","7.8373850431463294","21.74640301588704","50.32810125887056","0.333076024727637","0.8676284904227396","-0.30950094100835557","0.032255463280662866","0.31663567790587166","0.7271197265379463","-0.3896574015295009","0.016150339224054733","8.374695574485836","7.411018205399279"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","11.057135959528772","4.2490889796104705","12.356210146268772","71.76605361484792","0.19746158611302","0.740796397728265","-0.3429597525838517","-0.6467505245128677","0.38832059562136934","0.9681600797584693","-0.11339803085437694","0","6.127442437394351","4.029736546577368"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","30.68503866435348","21.476213790234098","40.79316821949795","0","-1.6924124889946555","2.030633355366753","-7.039786901965215","0","-2.9112985664726203","-0.11897963736243611","-11.50812049122731","0","7.102980926817389","10.19187622412645"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","19.28785360857691","11.010945671348948","24.624469277407698","53.170961716994135","-0.043283342918197576","-0.2746783107820008","0.2744883261114701","-1.3970089055030073","-0.06211366653691641","-0.3614154043150535","1.9410407470862907","-0.3146456018414767","6.4596594469348485","1.3945268033454261"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","44.70368450455922","29.179909016192816","45.469126896595505","0","-0.54900781692632","-1.5082926390433258","0.6910391843181429","0","-0.640353623358493","-1.5406073520508627","1.8248166603327292","0","11.892586461338382","6.178953261810814"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","33.77146595797371","17.16147035817234","29.436391931295702","13.132192620620215","1.141054751859933","0.8084300373549311","-1.0330769681333614","-0.08671863802810975","1.6940937810045824","1.7883848148165882","-0.6941323249324967","-0.012377369437169605","14.294535925599593","7.370796632120881"
State Bank of India,SBIN,"Public Banks","707498.65070535","23.355890033487587","11.001146170332397","11.036034464059732","56.91872140741524","-0.4816294795068554","-0.6349787018731661","0.0620191764164133","-0.0000031888625429132844","-0.3473687820682123","-0.559075869611366","0.22660431590064256","-0.0000031888625429132844","10.285745614037497","6.408132041916298"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","14.16097060715065","5.575411907537133","11.866249015697948","61.900675301370775","0.5690558275492945","0.8287003069387477","-0.8064086850523893","0","0.8884738949118578","1.7809707874203031","-1.7857369355504513","0","7.649229885499974","10.455414819294642"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","0.9425620501106963","0.794333885561044","0.19071644876792343","96.49999999264823","0.11005181865757019","0.0031803806026395876","0.04568080711781433","0","0.07792130895511296","-0.05663673204867126","0.12675598283193745","0","0.03993930305461782","1.7713180509502289"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","44.02048251097506","11.925501827737945","40.47445826241232","0","0.36758354702382334","2.273777557169888","-0.472194578128061","0","0.25128181111936954","2.0496736303507888","-2.7607043837052814","0","20.10081413279715","11.93875446753173"
