Name,Ticker,"Sub-Sector","Market Cap","Close Price","1W Return","1M Return","6M Return","1Y Return","1W Change in Volume","1M Average Volume","3M Average Volume","1W Return vs Nifty","1M Return vs Nifty","6M Return vs Nifty","1Y Return vs Nifty","% Away From 52W High","% Away From 52W Low","5Y CAGR"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","2926.9","0.5051539354222038","-0.7215104517869215","1.6655377828722373","20.12969689507276","-12.14614205730578","6544232.5","6140954.030769231","-1.337256005806077","-4.129663696439262","-13.395648214398305","-5.917945567911449","9.93200997642556","31.824528216907623","21.739079540456842"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","4346.15","-0.3296059107852041","1.880158281514972","4.663455749548456","20.520499701898135","123.37556064887825","1879392.3333333333","2433702.323076923","-2.172015852013485","-1.5279949631373682","-10.397730247722086","-5.5271427610860755","5.662482887153009","31.263968589549982","15.23835773355129"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","1694.8","1.3113161728994602","2.182898080396771","17.202033124719062","4.036094656394831","84.09107719352109","22859449.583333332","22958355.953846153","-0.5310937683288206","-1.2252551642555694","2.14084712744852","-22.01154780658938","5.8531980174652","24.293205236331627","9.152110362502786"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","1654.9","5.334051724137937","11.789438277833838","35.06080143638294","79.84133883938274","-47.101910052421104","7167487.791666667","7392217.523076923","3.4916417829096558","8.381285033181499","19.999615439112397","53.79369637639853","0.9698471206719406","84.81210564520632","38.10507314546048"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","1288.35","3.0556684274685013","6.47355163727959","19.15926748057712","30.110078771965245","3.9468477330816807","12373973.916666666","15237971.4","1.2132584862402205","3.0653983926272494","4.098081483306579","4.0624363089810345","0.5433306166802598","43.30923248053391","26.396787076545493"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","1892.15","1.777476608720577","5.2474126778783905","18.063831778616667","26.836707333422723","20.18695465754781","5206766.041666667","7021144.861538461","-0.06493333250770394","1.8392594332260503","3.002645781346125","0.7890648704385121","4.418254366725671","39.98816261606184","17.921010668863623"
State Bank of India,SBIN,"Public Banks","707498.65070535","792.75","0.5781089414182939","-4.091632978071785","8.454750666940276","31.260865965725632","-8.655012184291996","13493304.041666666","15600828.76923077","-1.2643009998099868","-7.499786222724126","-6.606435330330266","5.213223502741421","15.042573320719011","45.94072164948453","23.10385363802503"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","2875.85","-1.2661707354785476","4.414970930232558","25.039674775538604","15.558636208386066","-75.71173638019194","1744662.7916666667","1937812.3846153845","-3.1085806767068282","1.0068176855802178","9.978488778268062","-10.489006254598145","3.044317332266999","32.40256900163438","9.471484517039809"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","1018.6","-1.2379110251450633","-3.674008395038442","12.627156125608142","53.47295464818442","-27.215358214917654","1214822.5","3064867.5692307693","-3.0803209663733444","-7.082161639690782","-2.4340298716624","27.42531218520021","19.96858433143529","70.5197957646271",
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","507.35","-0.9751340809361287","0.3458498023715415","21.53551323511799","12.233160048667184","-63.61535799639103","10959797","14854209.707692308","-2.8175440221644097","-3.0623034422807986","6.474327237847447","-13.814482414317027","2.5918990834729483","27.043946412921006","16.22274903293053"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","3730.45","2.695792340614752","2.9303621169916383","4.7526114792766485","27.76170008733325","20.628952398313285","1971402.8333333333","2420516.123076923","0.8533823993864711","-0.47779112766070186","-10.308574517993893","1.7140576243490386","5.078475787103431","31.074647318212946","23.13149787686204"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","1756.5","2.0135549368654884","9.064942874323512","6.882073749543623","34.59770114942529","14.115272599427934","2609811.875","3062086.7230769233","0.17114499563720753","5.656789629671172","-8.17911224772692","8.55005868644108","4.070594933105598","45.33945637333996","27.11759385125676"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","7631.1","1.9143092366977352","11.527512794888104","17.317611247338455","1.0922482828055444","169.25693960484753","1435576.2916666667","1148814.6307692307","0.0718992954694544","8.119359550235764","2.256425250067913","-24.955394180178665","7.3501854254301335","23.32492970037816","17.45419751259485"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","1836","1.8363393271303372","6.939828080229221","16.84964200477327","59.9790877009541","-29.333333333333332","1808274.5","2132701","-0.006070614097943627","3.5316748355768808","1.7884560075027274","33.931445237969896","2.034313725490189","71.85379323255489","34.5206612029757"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","414.15","4.388164493480441","3.3002481389578193","30.58489673655999","71.70398009950249","-10.343637014174","13328339.875","17705477.26153846","2.54575455225216","-0.10790510569452083","15.523710739289449","45.65633763651827","2.9337196667873933","81.84412733260153","27.586379999784572"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","12204.1","0.12837232881305252","0.5171246229299624","4.879557935082468","15.985402153562502","-47.889502257010456","506875.7916666667","634254.676923077","-1.7140376124152283","-2.891028621722378","-10.181628062188075","-10.062240309421709","12.093476782392809","25.329006485137583","14.896208366640451"
