Name,Ticker,"Sub-Sector","Market Cap","Return on Equity","Return on Assets","Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","5Y Avg Net Profit Margin","5Y Avg EBITDA Margin","EBITDA Margin","5Y Avg Return on Investment","Return on Investment","5Y Avg Cash Flow Margin","Cash Flow Margin","ROCE"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","7.935513763564524","4.142960430595103","7.58805372814188","7.974433732096264","4.069443772103736","7.9464806657646845","18.235131562639065","19.474162623105194","6.740864835825614","6.697025301510205","13.312224712011863","17.306443104583284","9.41642403480641"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","50.303246130667034","31.843957118728127","18.713898457085786","42.99098313234969","28.682589155697553","19.221259081856413","28.408976266755282","27.621629333713795","40.21781146794841","46.99617475337226","20.008347398298696","18.073904979312314","63.17426133161581"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","16.85673681150032","1.9512492696450114","15.701681666164507","16.688333103024526","1.9297415492711827","19.963981651886204","27.44783773059935","19.524926753350307",,,"4.698014115818802","4.67391775634771","4.615515635159734"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","7.04406716343988","1.684457579619208","4.844699702583305","-6.097287985534595","-1.898531197538368","-6.9374181308937555","37.22246167476711","48.573061730830105","3.681427642510065","9.376963608362528","41.110915115393546","51.190315531586904","11.645471225779733"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","18.019082409233544","2.043208035755186","18.74970582033642","13.762044777740817","1.4705738181544832","14.15250204633116","20.94864735670497","26.423563724324907",,,"48.047574499629434","66.63531292221799","6.528727006172"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","31.941603350866938","20.131534518218373","16.563224124105794","29.04713482544775","19.62189593579788","17.420113464760377","26.927325960739985","25.972812395426217","26.326842981679015","27.58004544515596","18.201362939046483","15.91731331409702","37.49820006994014"
State Bank of India,SBIN,"Public Banks","707498.65070535","16.722561093597644","1.055416680785702","11.282792125937377","12.157484754845841","0.7423886740699532","8.583260453109467","12.90736180204345","15.992797543253177",,,"5.896382028261625","3.6383019195731268","5.124775276540176"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","20.16185197900829","13.561088898565641","16.338632750397455","34.21582681241548","18.639600431164013","16.624862519231378","24.671736822606963","24.604133545310017","31.535860594159942","20.055947228155066","19.220994207638295","24.593004769475357","21.73349793486047"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","63.31293790764639","0.8270390790101415","4.753262806361692","115.56795732654723","0.3807190408767106","2.1397977328071187","3.290854369815181","5.515770693982745","41.32863880457993","49.35590762802231","5.846008925590692","3.0345958200990077","0.8951120156999925"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","28.330617807699795","23.04112178888152","27.783495809480225","25.461642363991558","20.948441592743286","26.644893033165708","38.643472775819376","39.43200683900432","24.83784347466219","27.314684533483","25.357020929743417","23.329288687871294","34.86894078761706"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","12.671558001460156","3.9051457973857677","5.7941247120820405","11.87885194558682","3.3822424938862974","6.225633683327308","17.555527552088726","14.9573188819967","9.431965987302355","10.31255362726359","10.497168599036707","8.104465338434995","18.480366647449426"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","23.493854221996123","16.3344707057257","14.094140456699698","22.543559597691598","15.386804094900347","14.845243433012204","24.78156813060128","23.062078127244003","20.14168565520254","21.957611206419106","20.32181695718796","20.149360907654746","28.21185107498689"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","22.051521153288157","4.439902285201667","26.279560975920226","19.190106528696678","3.819786965731102","22.55669032790061","31.76117777085387","36.357220338551535","3.4766295042208633","3.905286973736273","-89.34488052768795","-132.31486002493176","5.654878505846499"
