Name,Ticker,"Sub-Sector","Market Cap","Reserves & Surplus","Cash and Equivalent","Long Term Investments","Total Debt","Total Assets","Total Deposits – Banks","Total Current Assets","Total Cash Dividend Paid","Total Current Liabilities","Total Equity","Long Term Debt","Operating Cash Flow","Total Liabilities"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1980407.5701076603","686913","203395","119502","458991","1755048",,"470100","6089","397367","925788","348399","158788","829260"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1572475.1066355698","90127","44767","281","8021","145472",,"112984","25218","46104","91319","6516","44338","54153"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1292493.0053462","328582.29","228834.50999999998","1005681.63",,"4035826.5199999996","2376887.28","228834.50999999998","8404.42","2376887.28","469778.65","730615.46","19069.34","3566047.8699999996"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","990567.73873839","10294.100000000006","16609.4","31332.8","215592.30000000002","442019.19999999995",,"58276.100000000006","4184.5","138667.8","105563.90000000001","184889.7","78898.2","336455.29999999993"
ICICI Bank Ltd,ICICIBANK,"Private Banks","907662.5288359651","202795.52000000002","162768.91","827162.51",,"2369248.46","1443579.95","162768.91","5598.6","1443579.95","270032.26","207428","157284.48","2099216.1999999997"
Infosys Ltd,INFY,"IT Services & Consulting","783709.666210575","85429","27701","11708","8359","136020",,"89432","14731","38794","88461","6400","25210","47559"
State Bank of India,SBIN,"Public Banks","707498.65070535","334931.23000000004","326572.31","2110548.23",,"6746909.02","4966537.49","326572.31","10084.81","4966537.49","430557.13000000006","639609.5","21632.43","6316351.889999999"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","675707.20308227","10635","12117","67","1484","78489",,"21324","9416","12876","51423","1106","15469","27066"
Life Insurance Corporation Of India,LICI,"Insurance","644264.26582386","76419.76999999999","41824.47","4976133.27","0","5316047.119999999",,"197099.31","4427.2","63794.98","82899.59999999999","0","26121.65","5233147.52"
ITC Ltd,ITC,"FMCG - Tobacco","634573.020095235","58444.58","20162.1","18169.6","303.43","91753.97",,"41065.53999999999","19899.2","13690.400000000001","74889.97","232.36999999999998","17178.86","16864"
Larsen and Toubro Ltd,LT,"Construction & Engineering","512934.9724705","86033.75","50316.02","10690.19","116322.22","339093.61",,"217074.51","4216.95","176600.73","102549.66","58241.75","18266.28","236543.95"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","475332.30518685","67713","27193","94","5758","99006",,"59331","14073","22726","68271","4562","22448","30735"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","471975.55668495","49692.53999999999","10624.01","30880.65","293345.83","375741.62000000005",,"14256.86","1814.58","34274.16","76695.34999999999","264772.11","-72760.14","299046.27"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","440517.900492","62239.409999999996","19105.22","6441.23","3273.67","85307.82",,"43433.11000000001","2900.71","16983.77","67105.97","303.6199999999999","12134.98","18201.85"
NTPC Ltd,NTPC,"Power Generation","401587.42793961003","151012.6","6897.34","15834.56","237130.98","479277.72000000003",,"83286.58","7419.43","98655.39","165122.28000000003","192052.8","40784.59","314155.44"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","383700.04533533996","72220.40000000001","6739.6","53383.8","118.6","115304.1",,"22633.8","2718.7","25951.800000000003","85636.00000000001","67.69999999999999","16801.1","29668.099999999988"
Axis Bank Ltd,AXISBANK,"Private Banks","383678.81674458","102971.72","116493.18","332353.74",,"1518923.66","1067102.4","116493.18","307.98","1067102.4","157522.96","228199.55","-5554.67","1361400.7"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","365754.43860764","103365.48000000001","65206.39000000001","246445.72",,"767913.55","445268.76","65206.39000000001","336.62","445268.76","129971.69","75105.61","15685","637941.86"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","365331.30814224","330780.09","42069.85","96827","153180.53","709773.9199999999",,"134345.76","12894.9","152282.2","365090.55000000005","103457.41","99262.69","344683.3699999999"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","354119.4567646","57482.46000000001","60059.93","8717.83","107262.50000000001","369520.61",,"167718.24","1059.08","173617.00000000003","93093.93000000001","69818.05","67915.36","276426.67999999993"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","342623.97496336","11933.619999999999","744.8399999999999","0.01","592.16","21172.48",,"6202.03","0","1979.14","18697.34","399.24","2745.84","2475.1400000000003"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","337018.53140122996","24947.14","8522.96","7246.21","65310.149999999994","160586.24000000002",,"36526.15","136.8","44058.10999999999","44186.29","57637.84","10312.19","116399.95000000001"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","336486.49030176003","62808.27","25647.39","21573.46","106625.52","234721.74",,"98265.64000000001","2247","75545.65000000001","79531.07","70533.61","-5629.95","155190.66999999998"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","335202.07043782005","54451.42","6268.01","2764.15","11402.95","100797.11",,"23143.47","1094.43","26905.960000000003","60283.420000000006","6249.89","10897.54","40513.68999999999"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","330461.4782546","9162","3192","679","15528","31547",,"25608","888","16529","9393","5334","1695","22154"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","328536.80179572","28596.92","6386.91","22655.09","1911.74","39343.69",,"11798.37","3960.2","9091.23","28962.42","759.1700000000001","6558.16","10381.27"
Asian Paints Ltd,ASIANPAINT,"Paints","313930.412771535","18632.38","4287.42","1384.51","2474.38","29900.770000000004",,"17537.06","2550.88","8500.960000000001","19423.68","1149.6700000000003","6103.6","10477.090000000002"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","310919.18566917","72335.23","8103.38","3554.91","123516.21","250829.30000000005",,"27052.969999999998","11218.85","43883.09999999999","87145.11","105129.52","37289.5","163684.19000000006"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","309013.05580823997","658","9785","494","64858","88086",,"13306","0","26388","17448","42172","7713","70638"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","308640.6524616","42598.85","8293.67","3626.87","49166.659999999996","116999.2",,"17472.36","1079.68","16462.94","54680.05","40479.159999999996","15017.58","62319.149999999994"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","300915.58493214","45769.58","12386.66","168384.6","288932.62","537415.14",,"36099.28","1183.4","173280.38999999998","103775.85","260358.89999999997","-68674.2","433639.29000000004"
Coal India Ltd,COALINDIA,"Mining - Coal","300186.49680817","76567.05","33486.27","3859.31","6523.03","236469.56000000003",,"104502.82","15097.85","61892","83581.9","5773.49","18103.1","152887.66000000003"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","296778.937875","28803.78","26431.61","1591.33","50.12","80910.84",,"65833.15","1972.89","39139.98999999999","29141.809999999998","1.0799999999999912","8222.82","51769.02999999999"
Wipro Ltd,WIPRO,"IT Services & Consulting","281198.868392315","73151.8","40812.399999999994","2267.3","16464.9","114608.9",,"65066.19999999999","554","25245.8","74667","7626.200000000001","17621.6","39941.9"
Trent Ltd,TRENT,"Retail - Apparel","260785.6013896","2107.8900000000003","1017.3299999999999","696.26","1752.99","7161.75",,"3109.8500000000004","78.27","1541.47","4102.59","1343.76","1348.98","3059.16"
Adani Power Ltd,ADANIPOWER,"Power Generation","251356.71078497003","21470.769999999997","7585.26","0.01","34431.07","92008.96999999997",,"25586.579999999994","1631.93","15788.669999999998","43329.52","26553.63","14170.15","48679.44999999997"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","250406.0768094","3244.47","818.83","423.89","344.53","10523.060000000001",,"3494.7200000000003","3008.18","3956.07","3340.89","281.4","4174.79","7182.170000000002"
Zomato Ltd,ZOMATO,"Online Services","240161.1300081","-5178","2011","10365","749","23356",,"5458","0","2083","20406","588","646","2950"
Siemens Ltd,SIEMENS,"Conglomerates","240035.73547765","12859.199999999999","7650.7","1.3","175.2","22265",,"17569.1","356.1","8458.400000000001","13095.699999999999","101.6","1400","9169.300000000001"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","237872.26056163502","169564.77","13538.650000000001","55162.04","132627.56","482682.9",,"157585.52","10972.58","216706.06","188162.97999999998","53124.890000000014","71098.63","294519.92000000004"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","233162.98775352002","69644","12351","7243","87948","227898",,"64534","822","66065","79812","69378","12078","148086"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","220395.42848172","103183.64","10959.77","133292.17","0","144862.76",,"11222.18","0","157.71999999999935","139147.66","0","-677.57","5715.099999999999"
DLF Ltd,DLF,"Real Estate","213050.07853542","13864.599999999999","4765.160000000001","19756.88","4833.86","59068.94",,"32018.4","986.85","14136.61","39431.61","2666.9900000000002","2538.81","19637.330000000005"
Varun Beverages Ltd,VBL,"Soft Drinks","210091.96778135","4022.88","459.86","21.08","5431.31","15187.18",,"4235.63","227.35","4153.21","7084.66","3386.8199999999997","2390.78","8102.52"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","207214.231136","34209.189999999995","467.37","53.6","412038.52","485082.42",,"480058.49","1960.28","146584.77","49178.56999999999","289319.10000000003","7914.1","435903.85"
Bharat Electronics Ltd,BEL,"Electronic Equipments","206757.094178265","15595.49","11056.59","682.23","62.51","39524.479999999996",,"34066.25","1462.09","22029.999999999996","16344.39","60.25","4659.49","23180.089999999997"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","204927.9715","14350","10049","578","8722","33895",,"12625","5493","10841","15195","4424","13346","18700"
Interglobe Aviation Ltd,INDIGO,"Airlines","190220.126290185","-2382.91","32291.730000000003","974.84","51280.02","82224.51000000001",,"35853.11","0","30798.32","1996.4300000000003","37863.46","21217.58","80228.08000000002"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","188495.16176913","19526.5","9569.4","1990.2","2070.6","27544.3",,"18846.4","1775.3","5743.200000000001","20026.399999999998","1727.2","5669.5","7517.900000000001"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","188001.98500746","59500.240000000005","9408.939999999999","5526.35","87082.12","269312.4199999999",,"70503.57999999999","4428.8","98403.48","92432.74","56115.43","20300.67","176879.67999999993"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","184599.47890473","13806.85","4745.89","384943.01","0","398298.8",,"11762.78","270.37","5515.82","14908.56","0","29121.86","383390.24"
Grasim Industries Ltd,GRASIM,"Cement","182708.35982911","59653.01000000001","26752.57","107201.69","137143.91","412116.49",,"86365.16","1125.55","92432.84","138949.52000000002","87777.81","-10719.33","273166.97"
Vedanta Ltd,VEDL,"Metals - Diversified","175007.53134748","11341","15209","987","87706","188118",,"51924","20500","78661","42069","51169","35654","146049"
ABB India Ltd,ABB,"Heavy Electrical Equipments","164975.967646875","5858.9400000000005","4816.17","1.56","48.98","11001.189999999999",,"9547.49","233.1","5014.160000000001","5944.6","28.929999999999996","1351.48","5056.589999999997"
Power Finance Corporation Ltd,PFC,"Specialized Finance","162381.5071008","94900.59999999999","3388.56","10971.35","861961.0599999999","1038877.3799999999",,"51935.32","6150.63","56132.64","134288.53999999998","848456.2","-97820.41","904588.84"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","162364.68920115","8263.39","2403.45","364.88","382.46999999999997","12075.61",,"5836.41","559.74","2797.58","8617.01","193.82999999999998","2724.03","3458.6"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","157064.23643592","24624.1","7514.9","458.3","2536.7","43149.1",,"23425.3","3917","12616.599999999999","27146.8","773.4000000000002","6376.4","16002.3"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","153315.464240575","97685","17709","12172","56356","230723",,"82343","667","59351","106157","48826","24056","124566"
Ambuja Cements Ltd,AMBUJACEM,"Cement","152738.28687078","16925.780000000002","11827.560000000001","89.86","699.01","65260.87000000001",,"24852.16","584.81","12128.880000000003","50845.9","517.96","5645.82","14414.97000000001"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","150359.49434524","8723.69","1558.61","291127.93","950","302686.95999999996",,"8085.15","0","8842.21","14666.35","950","10721.35","288020.61"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","147489.6793482","3672.45","2142.86","1070.21","2064.96","9071.5",,"4848.66","1732.47","4084.41","3966.02","924.8499999999998","2572.98","5105.48"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","146493.899834605","11050.670000000002","2263.13","1787.48","3222.2000000000003","18392.08",,"5553.49","511.41","5590.34","12598.570000000002","35.83000000000038","2069.95","5793.51"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","145817.16945168","66860.66","10577.029999999999","22339.92","54599.05000000001","202417.75",,"65694.11","5328.8","80883.38","75635.11","35477.29000000001","35935.9","126782.64000000001"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","145188.7484307","13438","3980","82","3","15460",,"9675","796","1278","13571","2","1261","1889"
Bajaj Housing Finance Ltd,BAJAJHFL,"Consumer Finance","144626.595609566","4683.62","64.01","1938.57","69129.31999999999","81827.09000000001",,"413.1","0","4033.95","12233.5","65559.64","-15428.11","69593.59000000001"
REC Limited,RECLTD,"Specialized Finance","143787.19652","64581.100000000006","2962.5","5352.32","445567.5","548191.0900000001",,"40490.670000000006","2857.05","44423.82000000001","69350.25","434417.02","-57722.65","478840.84"
Gail (India) Ltd,GAIL,"Gas Distribution","143297.28573954199","70422.08","1712.13","21910.04","21793.77","124735.01000000001",,"20289.59","3620.53","21658.32","77195.78000000001","15137.37","12585.72","47539.229999999996"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","140786.66044082","28928.19","10629.8","14838.1","53689.45","139054.4",,"28465.379999999997","886.77","41251.53","38332.77","41134.729999999996","12596.11","100721.62999999999"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","138347.418608256","-973.7999999999993","7084.3","6422.8","19921.9","84177.79999999999",,"40272.2","675.1","41720.399999999994","28215.499999999996","11905.300000000001","7568.9","55962.299999999996"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","134404.88220208","31014.12","11172.8","9471.82","195496.08","248265.94",,"13311.259999999998","1875.07","8679.39","49676.689999999995","189909.86","-31101.41","198589.25"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","133640.062908825","14506.619999999999","4393.73","4035.75","134474.88","156686.40999999997",,"5956.139999999999","166.78","33435.17","19593.24","103658","-35682.85","137093.16999999998"
